# Created by Octave 4.0.0, Tue Sep 08 13:38:38 2015 Eastern Daylight Time <unknown@Loki>
# name: maxnpost
# type: matrix
# rows: 8
# columns: 8
 0 0 0 0 0 0 5.531269841269842 11.53126984126984
 0 4.974126984126984 0 0 0 0 4.974126984126984 11.53126984126984
 5.380476190476189 9.115555555555556 4.466190476190476 0 0 0 5.817619047619047 10.69396825396825
 5.796825396825397 9.115555555555556 4.415396825396825 0 0 4.730952380952382 6.01 4.683968253968255
 5.806825396825396 9.085555555555555 4.444603174603174 0 5.786825396825397 5.786825396825397 6.01 0
 5.41047619047619 10.92412698412698 4.403809523809525 0 0 5.380476190476191 0 0
 5.054126984126984 12.04 5.644444444444445 0 0 0 0 0
 5.644444444444444 12.04 5.822222222222222 0 0 0 0 0


