# Created by Octave 4.0.0, Tue Sep 08 13:48:30 2015 Eastern Daylight Time <unknown@Loki>
# name: maxtpre
# type: matrix
# rows: 12
# columns: 12
 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616 2.215384615384616
 2.030769230769231 2.030769230769231 2.030769230769231 2.030769230769231 2.030769230769231 2.05 5.05 2.05 2.030769230769231 2.030769230769231 2.030769230769231 2.030769230769231
 2.04 2.04 2.04 2.04 2.04 4.04 5.05 4.04 2.04 2.04 2.04 2.04
 1.661538461538462 1.661538461538462 1.661538461538462 1.661538461538462 2.03 2.03 5.04 2.03 1.661538461538462 1.661538461538462 1.661538461538462 1.661538461538462
 1.476923076923077 1.476923076923077 1.476923076923077 2.02 4.02 2.02 2.03 1.476923076923077 1.476923076923077 1.476923076923077 1.476923076923077 1.476923076923077
 1.292307692307692 1.292307692307692 1.292307692307692 2.01 5.01 2.01 1.292307692307692 1.292307692307692 1.292307692307692 1.292307692307692 1.292307692307692 1.292307692307692
 2.02 2.02 2.02 4.02 5.02 4.02 2.02 2.02 2.02 2.02 2.02 2.02
 1.527272727272728 1.527272727272728 1.527272727272728 2.03 5.02 2.03 1.527272727272728 1.527272727272728 1.527272727272728 2.03 1.527272727272728 1.527272727272728
 1.745454545454546 1.745454545454546 1.745454545454546 1.745454545454546 2.03 1.745454545454546 1.745454545454546 1.745454545454546 2.04 5.04 2.04 1.745454545454546
 2.05 2.05 2.05 2.05 2.05 2.05 2.05 2.05 4.05 5.05 4.05 2.05
 2.181818181818182 2.181818181818182 2.181818181818182 2.181818181818182 2.181818181818182 2.181818181818182 2.181818181818182 2.181818181818182 2.181818181818182 5.05 2.181818181818182 2.181818181818182
 2.4 2.4 2.4 2.4 2.4 2.4 2.4 2.4 2.4 3.06 2.4 2.4


