# Created by Octave 4.0.0, Tue Sep 08 13:48:30 2015 Eastern Daylight Time <unknown@Loki>
# name: pathplot
# type: matrix
# rows: 14
# columns: 2
 4 4.5
 5 4.5
 1 5.5
 2 5.5
 3.5 5
 3 5.5
 5.5 5
 6 5.5
 7 5.5
 8 5.5
 9 5.5
 10 5.5
 11 5.5
 12 5.5


